author,comment,commentsCount,pageUrl,replyCount,title,type,videoID,voteCount,source_file,source_text_col,comment_text,comment_text_norm,mode,word_count,has_gender_hint,has_stance_hint,has_experience_hint,has_learning_hint,has_change_hint,has_reinforcement_hint,has_action_hint,has_info_hint,has_identity_hint,keep,keep_reason
@carpediem1569,I read a book called purple hibiscus by chimamanda the other day and in it there was a similar scene only that it was the feet that got burnt and I thought that that must be fictional. That it can only happen in novels.  That no parent can put their kid through that. And now I'm listening to you and the book came to life. I'm so sorry that happened to you. I'm so happy that you've taken charge of your life  and cut out that toxic parent. There's a reason you're alive today and you will touch and  change more lives than you could ever imagine.  Lots of love and virtual hugs.,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,1,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,11,Youtube- Undoing my Father's damage.xlsx,comment,I read a book called purple hibiscus by chimamanda the other day and in it there was a similar scene only that it was the feet that got burnt and I thought that that must be fictional. That it can only happen in novels.  That no parent can put their kid through that. And now I'm listening to you and the book came to life. I'm so sorry that happened to you. I'm so happy that you've taken charge of your life  and cut out that toxic parent. There's a reason you're alive today and you will touch and  change more lives than you could ever imagine.  Lots of love and virtual hugs.,i read a book called purple hibiscus by chimamanda the other day and in it there was a similar scene only that it was the feet that got burnt and i thought that that must be fictional. that it can only happen in novels. that no parent can put their kid through that. and now i'm listening to you and the book came to life. i'm so sorry that happened to you. i'm so happy that you've taken charge of your life and cut out that toxic parent. there's a reason you're alive today and you will touch and change more lives than you could ever imagine. lots of love and virtual hugs.,v1,119,True,False,True,False,False,False,True,False,False,False,emoji_or_punct_only
@tabithamarami8133,Ati? Your mum was watching helplessly? Your uncle? No one could stop this madman from this abuse? Lord have mercy...,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,1,Youtube- Undoing my Father's damage.xlsx,comment,Ati? Your mum was watching helplessly? Your uncle? No one could stop this madman from this abuse? Lord have mercy...,ati? your mum was watching helplessly? your uncle? no one could stop this madman from this abuse? lord have mercy...,v1,20,True,False,True,False,False,False,True,False,False,False,emoji_or_punct_only
@gracenjamba1792,My God you are telling my story.I went through this……,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,1,Youtube- Undoing my Father's damage.xlsx,comment,My God you are telling my story.I went through this……,my god you are telling my story.i went through this……,v1,11,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@daringdarling6892,Thank you Onyango for sharing this heartbreaking and  power full story. I hope it inspires us all to embark on our journey to heal our traumas🙏,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,Thank you Onyango for sharing this heartbreaking and  power full story. I hope it inspires us all to embark on our journey to heal our traumas🙏,thank you onyango for sharing this heartbreaking and power full story. i hope it inspires us all to embark on our journey to heal our traumas🙏,v1,26,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@Foi_Wanyeki,"Sending healing, love and light your way Chris💕",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),reply,,0,Youtube- Undoing my Father's damage.xlsx,comment,"Sending healing, love and light your way Chris💕","sending healing, love and light your way chris💕",v1,8,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@FelixAijah,How is your relationship with your mum upto now man. I went through similar experiences.,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),reply,,0,Youtube- Undoing my Father's damage.xlsx,comment,How is your relationship with your mum upto now man. I went through similar experiences.,how is your relationship with your mum upto now man. i went through similar experiences.,v1,15,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@This_is_CKM,Single mothers are horrible,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),reply,,0,Youtube- Undoing my Father's damage.xlsx,comment,Single mothers are horrible,single mothers are horrible,v1,4,True,False,True,False,False,False,False,False,False,True,substantive_v1
@EngageTalk,"Yes, we need to recognise and heal our own traumas so that we can live full lives and raise wholesome children.",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),reply,,1,Youtube- Undoing my Father's damage.xlsx,comment,"Yes, we need to recognise and heal our own traumas so that we can live full lives and raise wholesome children.","yes, we need to recognise and heal our own traumas so that we can live full lives and raise wholesome children.",v1,21,False,False,True,False,False,False,True,False,False,False,emoji_or_punct_only
@aminaaminata6268,RIX you are a legend. Keep inspiring us. Cb made me want to follow him for a minute. Waah! Story for another day.,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,1,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,1,Youtube- Undoing my Father's damage.xlsx,comment,RIX you are a legend. Keep inspiring us. Cb made me want to follow him for a minute. Waah! Story for another day.,rix you are a legend. keep inspiring us. cb made me want to follow him for a minute. waah! story for another day.,v1,23,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@BG-gt1xy,Have you forgiven your father  ?,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,Have you forgiven your father  ?,have you forgiven your father ?,v1,5,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
